Time(minutes) NodeBegin NodeEnd NrOfCars
1 176 32329843 54094101 4
1 176 54094101 32329844 4
1 176 32329844 32329845 4
1 176 32329845 32329846 4
1 176 32329846 32329847 6
1 176 32329847 32329848 7
1 176 32329848 32329849 8
1 176 32329849 32329852 8
1 176 32329852 32329851 3
1 177 27167042 27167040 22
1 177 27167040 27167038 22
1 177 27167038 27167036 23
1 177 27167036 27167034 25
1 177 27167034 27167032 25
1 177 27167032 27167029 27
1 177 27167029 27167027 29
1 177 27167027 27167025 30
1 177 27167025 27167023 31
1 177 27167023 30902333 31
1 178 32049425 253170440 22
1 178 253170440 32049412 22
1 178 32049412 248664358 29
1 178 248664358 27167042 30
1 179 27167044 248664501 9
1 179 248664501 248664363 10
1 179 248664363 32049448 11
1 179 32049448 248664413 12
1 179 248664413 248664543 11
1 179 248664543 32049430 11
1 187 32049423 27167170 9
1 187 27167170 253174123 9
1 187 253174123 253173960 10
1 187 253173960 32922344 11
1 187 32922344 32049388 14
1 187 32049388 32049384 17
1 187 32049384 32049381 27
1 187 32049381 32049372 23
1 187 32049372 32049370 22
1 187 32049370 32049364 5
1 188 32049365 32049371 14
1 188 32049371 32049379 16
1 188 32049379 255582376 18
1 188 255582376 32049383 21
1 188 32049383 32049386 23
1 188 32049386 255582533 23
1 188 255582533 32049390 21
1 188 32049390 32922337 1
1 188 32922337 32922345 1
1 188 32922345 253173932 21
1 188 253173932 253174095 20
1 188 253174095 32049427 20
1 188 32049427 32049425 3
1 189 32049430 32049462 17
1 189 32049462 32049463 18
1 189 32049463 152583665 18
1 190 152583665 32049464 30
1 190 32049464 32049466 25
1 190 32049466 32049467 55
1 190 32049467 32049469 46
1 190 32049469 32049470 19
1 190 32049470 253168729 2
1 190 253168729 253168737 1
1 190 253168737 253168738 2
1 190 253168738 253168739 4
1 190 253168739 253168740 6
1 191 253168611 253168582 11
1 191 253168582 27167148 17
1 191 27167148 253168583 17
1 191 253168583 27167146 17
1 191 27167146 253168584 17
1 191 253168584 27167147 18
1 191 27167147 27167164 18
1 191 27167164 27167165 19
1 191 27167165 27167166 8
1 191 27167166 152583664 12
1 191 152583664 27167167 43
1 191 27167167 27167168 26
1 191 27167168 253168921 19
1 191 253168921 27167169 4
1 192 32528268 32528269 8
1 192 32528269 32528270 8
1 193 32528270 32528269 26
1 193 32528269 32528268 0
1 194 32528270 32528271 14
1 194 32528271 32528272 18
1 194 32528272 224753300 21
1 194 224753300 224753301 21
1 194 224753301 32528273 21
1 194 32528273 32528274 22
1 194 32528274 32528275 22
1 195 32528275 32528274 29
1 195 32528274 32528273 28
1 195 32528273 224753301 30
1 195 224753301 224753300 30
1 195 224753300 32528272 27
1 195 32528272 32528271 31
1 195 32528271 32528270 18
1 196 32528275 32528276 17
1 196 32528276 32627303 31
1 196 32627303 32528277 26
1 196 32528277 32528278 28
1 196 32528278 251855425 32
1 196 251855425 251855426 33
1 196 251855426 251855420 36
1 196 251855420 32528279 36
1 196 32528279 32528280 36
1 197 32528885 32528884 66
1 197 32528884 32893459 66
1 197 32893459 32627302 27
1 197 32627302 32627301 26
1 197 32627301 32627300 1
1 197 32627300 32627299 1
1 198 32627299 32528275 4
1 199 28396137 251854372 10
1 199 251854372 28396139 11
1 200 31156834 251854348 20
1 200 251854348 254993166 20
1 200 254993166 31156836 18
1 201 32529959 32529954 10
1 201 32529954 28396137 10
1 202 31156836 32529955 17
1 202 32529955 32529968 17
1 203 34815611 34815617 7
1 203 34815617 34815613 7
1 203 34815613 34815712 13
1 203 34815712 88085386 3
1 204 87723371 88085388 11
1 204 88085388 34815713 6
1 204 34815713 34815612 10
1 204 34815612 34815616 6
1 204 34815616 34815609 7
1 205 88085386 83066125 8
1 205 83066125 34815714 19
1 205 34815714 34815717 20
1 205 34815717 205420005 20
1 205 205420005 34815710 34
1 205 34815710 86970192 35
1 205 86970192 32912934 16
1 205 32912934 32598967 1
